-180.000  -83.830
-178.000  -84.330
-174.000  -84.500
-170.000  -84.670
-166.000  -84.920
-163.000  -85.420
-158.000  -85.420
-152.000  -85.580
-146.000  -85.330
-147.000  -84.830
-151.000  -84.500
-153.500  -84.000
-153.000  -83.500
-154.000  -83.000
-154.000  -82.500
-154.000  -82.000
-154.500  -81.500
-153.000  -81.170
-150.000  -81.000
-146.500  -80.920
-145.500  -80.670
-148.000  -80.330
-150.000  -80.000
-152.500  -79.670
-155.000  -79.250
-157.000  -78.830
-158.000  -78.500
-156.670  -78.420
-154.500  -78.500
-154.500  -78.170
-156.670  -78.080
-158.000  -77.830
-158.330  -77.500
-158.670  -77.170
-157.000  -77.000
-154.000  -77.170
-153.000  -77.580
-150.500  -77.830
-148.000  -77.670
-146.000  -77.250
-146.000  -76.750
-146.330  -76.330
-146.670  -75.920
-144.000  -75.830
-142.000  -75.580
-140.670  -75.750
-140.000  -75.420
-138.330  -75.250
-136.670  -75.000
-135.500  -74.750
-133.000  -74.750
-132.000  -75.000
-130.830  -75.420
-129.670  -75.750
-128.000  -76.000
-127.000  -76.000
-126.830  -75.670
-126.330  -75.170
-125.500  -74.670
-124.500  -74.330
-123.330  -73.830
-123.670  -73.250
-122.330  -73.250
-121.330  -73.750
-120.000  -74.000
-120.000  -73.580
-118.330  -73.670
-116.670  -73.670
-116.330  -73.830
-117.670  -74.170
-117.670  -74.670
-116.330  -75.170
-113.670  -75.250
-112.330  -75.000
-112.500  -74.500
-112.670  -74.000
-112.000  -73.670
-111.500  -74.000
-111.000  -74.500
-110.330  -75.000
-108.670  -75.170
-108.500  -74.670
-108.500  -74.670
-109.500  -74.500
-109.500  -74.000
-108.330  -74.000
-108.000  -74.330
-108.500  -74.670
-108.500  -74.670
-107.500  -75.080
-106.000  -75.080
-104.500  -74.920
-104.500  -74.580
-102.670  -74.580
-101.330  -74.750
-100.000  -75.000
 -99.500  -74.750
-101.330  -74.330
-100.670  -74.000
-101.500  -73.750
-101.500  -73.500
-100.000  -73.580
 -99.000  -73.420
-100.000  -73.080
-101.330  -73.250
